,Location,Population,% of world,Date,Source (official or from the United Nations)
0,World,8095267000,100%,16 Mar 2024,UN projection[3]
1,China,1409670000,,31 Dec 2023,Official estimate[5]
2,India,1392329000,,1 Jul 2023,Official projection[6]
3,United States,335893238,,1 Jan 2024,Official estimate[7]
4,Indonesia,279118866,,1 Jul 2023,National annual projection[8]
5,Pakistan,241499431,,1 Mar 2023,2023 census result[9]
6,Nigeria,223800000,,1 Jul 2023,Official projection[10]
7,Brazil,203080756,,1 Aug 2022,2022 census result[11]
8,Bangladesh,169828911,,14 Jun 2022,2022 census result[12]
9,Russia,146203613,,1 Jan 2024,Official estimate[13]
10,Mexico,129625968,,31 Dec 2023,National quarterly estimate[14]
11,Japan,123990000,,1 Feb 2024,Official estimate[15]
12,Philippines,112892781,,1 Jul 2023,Official projection[16]
13,Ethiopia,107334000,,1 Jul 2023,National annual projection[17]
14,Egypt,104462545,,1 Jan 2023,Official estimate[18]
15,Vietnam,100300000,,Jul 2023,Official estimate[19]
16,Democratic Republic of the Congo,95370000,,1 Jul 2019,Official figure[20]
17,Turkey,85372377,,31 Dec 2023,Official estimate[21]
18,Germany,84607016,,30 Sep 2023,National quarterly estimate[22]
19,Iran,84055000,,20 Mar 2022,Official estimate[23]
20,France,68381000,,1 Feb 2024,Monthly national estimate[24]
21,Thailand,68263022,,1 Jul 2021,Official estimate[25]
22,United Kingdom,67026292,,30 Jun 2021,Official estimate[26]
23,South Africa,62027503,,2 Feb 2022,2022 census result[27]
24,Tanzania,61741120,,23 Aug 2022,2022 census result[28]
25,Italy,58909449,,30 Nov 2023,Monthly national estimate[29]
26,Myanmar,55770232,,1 Jul 2022,National annual projection[30]
27,Colombia,52695952,,1 Jan 2024,Official projection[31]
28,Kenya,51526000,,1 Jan 2023,Official projection[32]
29,South Korea,51303688,,29 Feb 2024,Monthly national estimate[33]
30,Spain,48592909,,1 Jan 2024,National quarterly estimate[34]
31,Argentina,46654581,,1 Jul 2023,National annual projection[35]
32,Uganda,45562000,,1 Jul 2023,National annual projection[36]
33,Algeria,45400000,,1 Jan 2022,Official estimate[37]
34,Iraq,43324000,,1 Jul 2023,Official estimate[38]
35,Sudan,41984500,,1 Jul 2018,Official projection[39]
36,Canada,40528396,,1 Oct 2023,National quarterly estimate[40]
37,Poland,37635000,,31 Dec 2023,Monthly national estimate[41]
38,Morocco,37022000,,1 Jul 2023,Official projection[42]
39,Ukraine,36700000,,1 Jul 2023,UN estimate[43]
40,Uzbekistan,36599764,,1 Oct 2023,National quarterly estimate[44]
41,Afghanistan,34262840,,1 Jan 2023,Official estimate[45]
42,Angola,34094077,,1 Jun 2023,National annual projection[46]
43,Peru,33396698,,1 Jul 2022,National annual projection[47]
44,Malaysia,33379500,,30 Jun 2023,National quarterly estimate[48]
45,Mozambique,32419747,,1 Jul 2022,National annual projection[49]
46,Saudi Arabia,32175224,,10 May 2022,2022 census result[50]
47,Yemen,31888698,,1 Jul 2022,Official estimate[51]
48,Ghana,30832019,,27 Jun 2021,2021 census result[52]
49,Ivory Coast,29389150,,14 Dec 2021,2021 census result[53]
50,Nepal,29164578,,25 Nov 2021,2021 census result[54]
51,Venezuela,28302000,,30 Jun 2019,Official projection[55]
52,Cameroon,28088845,,1 Jul 2023,National annual projection[56]
53,Madagascar,26923353,,1 Jul 2021,National annual projection[57]
54,Australia,26461912,,31 Mar 2023,Official projection[58]
55,North Korea,25660000,,1 Jul 2021,National annual projection[59]
56,Niger,25369415,,1 Jul 2023,National annual projection[60]
57,Taiwan,23420442,,31 Dec 2023,Official estimate[61]
58,Syria,22923000,,1 Jul 2021,Official estimate[62]
59,Burkina Faso,22752315,,1 Jul 2023,National projection[63]
60,Mali,22395489,,15 Jun 2022,2022 census result[64]
61,Sri Lanka,22037000,,1 Jul 2023,Official estimate[65]
62,Malawi,21507723,,1 Jul 2022,National annual projection[66]
63,Kazakhstan,20033546,,1 Jan 2024,Official estimate[67]
64,Chile,19960889,,30 Jun 2023,National annual projection[68]
65,Zambia,19610769,,14 Sep 2022,2022 census result[69]
66,Romania,19051562,,1 Jan 2023,Official estimate[70]
67,Senegal,18275743,,1 Jul 2023,National annual projection[71]
68,Somalia,18143379,,1 Jul 2023,UN projection[3]
69,Netherlands,17947684,,31 Dec 2023,Official estimate[72]
70,Guatemala,17602431,,1 Jul 2023,National annual projection[73]
71,Chad,17414717,,1 Jul 2022,National annual projection[74]
72,Cambodia,17091464,,1 Jul 2023,Official projection[75]
